user_id,skill_id,correct,time
U156972,K538433,1,1546358400
U170896,K538370,1,1546358400
U189430,K538202,1,1546358400
U189430,K538134,1,1546358400
U162962,K538184,1,1546358400
U181031,K538493,1,1546358400
U199035,K538123,1,1546358400
U162962,K538433,1,1546358400
U189430,K538215,1,1546358400
U162962,K538057,1,1546358400
U181031,K538260,1,1546358400
U181031,K538287,1,1546358400
U214957,K538433,1,1546358400
U172724,K538457,1,1546358400
U172724,K538031,1,1546358400
U214957,K538395,1,1546358400
U213787,K538124,1,1546358400
U172724,K538370,0,1546358400
U181031,K538433,1,1546358400
U189430,K538057,1,1546358400
U159299,K538464,1,1546358400
U181031,K538202,1,1546358400
U203963,K538457,1,1546358400
U203963,K538459,1,1546358400
U203963,K538118,1,1546358400
U161251,K538287,1,1546358400
U189430,K538055,1,1546358400
U189430,K538202,1,1546358400
U189430,K538389,1,1546358400
U189430,K538057,1,1546358400
U181715,K538270,1,1546358400
U181715,K538249,1,1546358400
U159299,K538310,1,1546358400
U181261,K538324,1,1546358400
U181261,K538287,1,1546358400
U159299,K538223,1,1546358400
U181031,K538287,1,1546358400
U181715,K538194,1,1546358400
U181031,K538223,1,1546358400
U181031,K538202,1,1546358400
U181031,K538433,1,1546358400
U181031,K538406,1,1546358400
U181921,K538395,1,1546358400
U181031,K538148,1,1546358400
U176185,K538223,1,1546358400
U173352,K538328,0,1546358400
U173352,K538433,1,1546358400
U181031,K538412,1,1546358400
U213787,K538384,1,1546358400
U213787,K538134,1,1546358400
U208805,K538265,1,1546358400
U208805,K538232,1,1546358400
U208805,K538223,1,1546358400
U220350,K538223,0,1546358400
U220350,K538323,0,1546358400
U181031,K538223,1,1546358400
U181031,K538124,1,1546358400
U181031,K538202,1,1546358400
U220350,K538232,1,1546358400
U181921,K538406,1,1546358400
U175553,K538384,1,1546358400
U175553,K538057,1,1546358400
U181031,K538403,1,1546358400
U213787,K538436,1,1546358400
U213787,K538134,1,1546358400
U181031,K538224,1,1546358400
U213787,K538384,1,1546358400
U213787,K538134,1,1546358400
U156972,K538457,1,1546444800
U156972,K538208,1,1546444800
U187639,K538202,1,1546444800
U156972,K538493,1,1546444800
U156972,K538493,1,1546444800
U181921,K538493,1,1546444800
U181921,K538493,1,1546444800
U156972,K538323,1,1546444800
U156972,K538287,1,1546444800
U184661,K538287,1,1546444800
U173352,K538171,1,1546444800
U181921,K538202,1,1546444800
U156972,K538287,1,1546444800
U181921,K538208,1,1546444800
U156972,K538433,1,1546444800
U156972,K538057,1,1546444800
U181921,K538287,1,1546444800
U160931,K538208,1,1546444800
U156972,K538384,1,1546444800
U156972,K538433,1,1546444800
U229102,K538287,1,1546444800
U161251,K538223,1,1546444800
U181921,K538287,1,1546444800
U156972,K538287,1,1546444800
U156972,K538433,1,1546444800
